date_time,week,number_of_sales,gross_sales,sales_rep
2020-12-28 8:56:00,43,1,4260.621723,"Lumbergh, Bill"
2020-12-28 9:02:00,22,1,128.5421879,"Lumbergh, Bill"
2020-12-28 10:30:00,21,1,100.9448825,"Bolton, Michael"
2020-12-28 10:55:00,22,1,5919.900934,"Germanotta, Stefani"
2020-12-28 11:03:00,6,1,185.907347,"Bolton, Michael"
2020-12-28 11:15:00,37,1,2872.932754,"Bateman, Patrick"
2020-12-28 11:33:00,18,1,580.0500372,"Quintana, Jesus"
2020-12-28 13:23:00,11,1,1422.256364,"Van Dyne, Joelle"
2020-12-28 14:09:00,36,1,535.4977965,"Van Dyne, Joelle"
2020-12-28 16:24:00,50,1,913.1478929,"Lumbergh, Bill"
2020-12-28 17:59:00,20,1,467.6655599,"Gruber, Hans"
2020-12-28 18:07:00,25,1,1295.624695,"Garcia, Jerry"
2020-12-28 18:15:00,13,1,2396.811688,"Bolton, Michael"
2020-12-28 18:24:00,27,1,437.3727086,"Lumbergh, Bill"
2020-12-28 15:33:00,4,1,1484.037402,"Dude, The"
2020-12-29 8:58:00,39,1,513.7495032,"Portwood, Dom"
2020-12-29 9:51:00,29,1,649.8802687,"Steeply, Hugh"
2020-12-29 10:16:00,10,1,2010.632988,"Lumbergh, Bill"
2020-12-29 10:22:00,32,1,1672.307923,"Germanotta, Stefani"
2020-12-29 10:31:00,8,1,387.4704629,"Van Dyne, Joelle"
2020-12-29 11:34:00,3,1,1455.359602,"Van Dyne, Joelle"
2020-12-29 11:44:00,18,1,74.29434556,"Simone, Nina"
2020-12-29 11:50:00,28,1,1556.86184,"Lumbergh, Bill"
2020-12-29 12:02:00,16,1,2013.512212,"Bolton, Michael"
2020-12-29 12:36:00,52,1,492.7401729,"Cyrus, Mylie"
2020-12-29 12:39:00,18,1,1522.52225,"Portwood, Dom"
2020-12-29 12:43:00,38,1,1475.485735,"Lumbergh, Bill"
2020-12-29 13:31:00,1,1,892.8546569,"Lumbergh, Bill"
2020-12-29 13:31:00,34,1,1834.581091,"Bolton, Michael"
2020-12-29 14:04:00,23,1,2651.581261,"Garcia, Jerry"
2020-12-29 14:33:00,1,1,3263.976096,"Bateman, Patrick"
2020-12-29 14:34:00,47,1,1973.70016,"Steeply, Hugh"
2020-12-29 15:02:00,37,1,2428.149281,"Cyrus, Mylie"
2020-12-29 15:09:00,18,1,12519.69745,"Bolton, Michael"
2020-12-29 15:47:00,49,1,1080.36465,"Quintana, Jesus"
2020-12-29 16:18:00,6,1,497.7903743,"Quintana, Jesus"
2020-12-29 16:37:00,17,1,202.9108785,"Quintana, Jesus"
2020-12-29 17:08:00,19,1,440.1035978,"Lumbergh, Bill"
2020-12-29 17:22:00,36,1,1258.105969,"Van Dyne, Joelle"
2020-12-29 17:41:00,23,1,3859.001097,"Germanotta, Stefani"
2020-12-29 18:05:00,23,1,1058.82022,"Quintana, Jesus"
2020-12-29 20:47:00,44,1,452.6676227,"Simone, Nina"
2020-12-29 20:49:00,13,1,3750.582591,"Bolton, Michael"
2020-12-30 8:54:00,16,1,681.6465743,"Incandenza, Hal"
2020-12-30 10:30:00,3,1,6258.113078,"Bolton, Michael"
2020-12-30 11:10:00,45,1,6059.06048,"Gompert, Katherine"
2020-12-30 11:28:00,29,1,1491.688553,"Incandenza, Hal"
2020-12-30 11:30:00,46,1,327.1035119,"Van Dyne, Joelle"
