,,date_time,week,type,sales_rep,number_of_sales,gross_sales,number_of_estimates,estimates_processed
0,0,2020-12-28 8:56:00,1,Customer Invoice,"Incandenza, Hal",1,406.9688136466938,0,0
1,1,2020-12-28 9:02:00,1,Customer Invoice,"Incandenza, Hal",1,906.9289246247079,0,0
2,2,2020-12-28 9:56:00,1,Estimate,"Lumbergh, Bill",0,599.0118681082242,1,0
3,3,2020-12-28 9:57:00,1,Estimate,"Germanotta, Stefani",0,4001.3199759297245,1,0
4,4,2020-12-28 9:59:00,1,Estimate,"Lumbergh, Bill",0,261.72884215204357,1,0
5,5,2020-12-28 10:30:00,1,Customer Invoice,"Incandenza, Hal",1,573.2134252429818,0,0
6,6,2020-12-28 10:31:00,1,Estimate,"Simone, Nina",0,911.8431017735265,1,1
7,7,2020-12-28 10:49:00,1,Estimate,"Lumbergh, Bill",0,332.2919456501559,1,0
8,8,2020-12-28 10:54:00,1,Estimate,"Bolton, Michael",0,993.6833612173424,1,1
9,9,2020-12-28 10:55:00,1,Customer Invoice,"Bolton, Michael",1,1070.8084840541037,0,0
10,10,2020-12-28 11:03:00,1,Customer Invoice,"Cyrus, Mylie",1,492.34509115213945,0,0
11,11,2020-12-28 11:15:00,1,Cash Sale,"Lumbergh, Bill",1,302.41732973743245,0,0
12,12,2020-12-28 11:33:00,1,Customer Invoice,"Incandenza, Hal",1,554.7905564918098,0,0
13,13,2020-12-28 11:55:00,1,Estimate,"Simone, Nina",0,217.76521317653902,1,1
14,14,2020-12-28 12:19:00,1,Estimate,"Bolton, Michael",0,569.7433491647959,1,1
15,15,2020-12-28 12:45:00,1,Estimate,"Portwood, Dom",0,4.081817271526107,1,1
16,16,2020-12-28 12:58:00,1,Estimate,"Germanotta, Stefani",0,3997.406827662857,1,0
17,17,2020-12-28 13:23:00,1,Customer Invoice,"Simone, Nina",1,209.28699697172394,0,0
18,18,2020-12-28 13:30:00,1,Estimate,"Germanotta, Stefani",0,710.0752588081972,1,0
19,19,2020-12-28 14:09:00,1,Customer Invoice,"Incandenza, Hal",1,415.6573852983744,0,0
20,20,2020-12-28 14:11:00,1,Estimate,"Bolton, Michael",0,2098.2957492615405,1,1
21,21,2020-12-28 15:29:00,1,Estimate,"Simone, Nina",0,498.8193530155913,1,1
22,22,2020-12-28 15:56:00,1,Estimate,"Simone, Nina",0,1306.2781724978586,1,1
23,23,2020-12-28 16:24:00,1,Customer Invoice,"Portwood, Dom",1,17.66768605983664,0,0
24,24,2020-12-28 16:32:00,1,Estimate,"Simone, Nina",0,781.5765431792058,1,0
25,25,2020-12-28 16:50:00,1,Estimate,"Simone, Nina",0,3491.7457089950417,1,0
26,26,2020-12-28 17:59:00,1,Customer Invoice,"Incandenza, Hal",1,1484.6450377387653,0,0
27,27,2020-12-28 18:07:00,1,Customer Invoice,"Incandenza, Hal",1,251.78792716598088,0,0
28,28,2020-12-28 18:15:00,1,Customer Invoice,"Incandenza, Hal",1,565.5526158012605,0,0
29,29,2020-12-28 18:24:00,1,Customer Invoice,"Portwood, Dom",1,5396.574934392153,0,0
30,30,2020-12-28 15:33:00,1,Customer Invoice,"Cyrus, Mylie",1,1354.3942701417125,0,0
31,31,2020-12-29 8:56:00,1,Estimate,"Germanotta, Stefani",0,959.3624161720448,1,1
32,32,2020-12-29 8:58:00,1,Customer Invoice,"Bolton, Michael",1,1538.806952405117,0,0
33,33,2020-12-29 9:15:00,1,Estimate,"Simone, Nina",0,1563.8701812733461,1,0
34,34,2020-12-29 9:25:00,1,Estimate,"Bolton, Michael",0,2249.086330837419,1,1
35,35,2020-12-29 9:49:00,1,Estimate,"Germanotta, Stefani",0,723.8350345618577,1,0
36,36,2020-12-29 9:51:00,1,Customer Invoice,"Simone, Nina",1,1497.897881496252,0,0
37,37,2020-12-29 10:16:00,1,Customer Invoice,"Incandenza, Hal",1,135.36515021989757,0,0
38,38,2020-12-29 10:22:00,1,Customer Invoice,"Cyrus, Mylie",1,2364.798062705335,0,0
39,39,2020-12-29 10:27:00,1,Estimate,"Lumbergh, Bill",0,1101.7398806190783,1,1
40,40,2020-12-29 10:31:00,1,Customer Invoice,"Incandenza, Hal",1,241.3021440799859,0,0
41,41,2020-12-29 11:01:00,1,Estimate,"Germanotta, Stefani",0,322.0861024219373,1,0
42,42,2020-12-29 11:24:00,1,Estimate,"Simone, Nina",0,10573.795558594053,1,1
43,43,2020-12-29 11:31:00,1,Estimate,"Germanotta, Stefani",0,799.5628141397912,1,0
44,44,2020-12-29 11:32:00,1,Estimate,"Simone, Nina",0,253.47050420293246,1,1
45,45,2020-12-29 11:34:00,1,Customer Invoice,"Simone, Nina",1,298.75262744536485,0,0
46,46,2020-12-29 11:38:00,1,Estimate,"Germanotta, Stefani",0,2442.9724299389886,1,1
47,47,2020-12-29 11:44:00,1,Customer Invoice,"Bolton, Michael",1,2155.554793686096,0,0
48,48,2020-12-29 11:50:00,1,Customer Invoice,"Germanotta, Stefani",1,2396.0068554120066,0,0
49,49,2020-12-29 12:02:00,1,Customer Invoice,"Incandenza, Hal",1,725.0450487739981,0,0
50,50,2020-12-29 12:33:00,1,Estimate,"Lumbergh, Bill",0,8319.389336800312,1,1
51,51,2020-12-29 12:36:00,1,Customer Invoice,"Bateman, Patrick",1,1008.0691908856213,0,0
52,52,2020-12-29 12:39:00,1,Customer Invoice,"Bateman, Patrick",1,3292.291080575134,0,0
53,53,2020-12-29 12:41:00,1,Estimate,"Germanotta, Stefani",0,510.2156721051682,1,1
54,54,2020-12-29 12:43:00,1,Customer Invoice,"Bateman, Patrick",1,886.5024972155956,0,0
55,55,2020-12-29 13:31:00,1,Customer Invoice,"Bateman, Patrick",1,1066.5606235337725,0,0
56,56,2020-12-29 13:31:00,1,Customer Invoice,"Incandenza, Hal",1,889.0199700165298,0,0
57,57,2020-12-29 13:31:00,1,Estimate,"Portwood, Dom",0,281.09164715596785,1,1
58,58,2020-12-29 13:32:00,1,Estimate,"Simone, Nina",0,1012.6079104576235,1,0
59,59,2020-12-29 14:04:00,1,Customer Invoice,"Lumbergh, Bill",1,7473.6882924746205,0,0
60,60,2020-12-29 14:05:00,1,Estimate,"Germanotta, Stefani",0,470.4772811717674,1,1
61,61,2020-12-29 14:33:00,1,Customer Invoice,"Bateman, Patrick",1,1285.8615688478142,0,0
62,62,2020-12-29 14:34:00,1,Cash Sale,"Germanotta, Stefani",1,19.751381683903745,0,0
63,63,2020-12-29 14:56:00,1,Estimate,"Lumbergh, Bill",0,837.3408825756642,1,1
64,64,2020-12-29 15:02:00,1,Customer Invoice,"Lumbergh, Bill",1,707.6501104905815,0,0
65,65,2020-12-29 15:09:00,1,Customer Invoice,"Germanotta, Stefani",1,551.7281897238668,0,0
66,66,2020-12-29 15:23:00,1,Estimate,"Lumbergh, Bill",0,738.3270770295297,1,1
67,67,2020-12-29 15:47:00,1,Customer Invoice,"Germanotta, Stefani",1,823.9683791814775,0,0
68,68,2020-12-29 15:58:00,1,Estimate,"Simone, Nina",0,14307.789579133612,1,1
69,69,2020-12-29 16:02:00,1,Estimate,"Simone, Nina",0,3088.322113574014,1,1
70,70,2020-12-29 16:18:00,1,Customer Invoice,"Incandenza, Hal",1,90.16996911619074,0,0
71,71,2020-12-29 16:26:00,1,Estimate,"Lumbergh, Bill",0,155.27077995471168,1,1
72,72,2020-12-29 16:37:00,1,Customer Invoice,"Germanotta, Stefani",1,592.9844879458155,0,0
73,73,2020-12-29 16:43:00,1,Estimate,"Germanotta, Stefani",0,2990.9589244096746,1,1
74,74,2020-12-29 16:56:00,1,Estimate,"Germanotta, Stefani",0,45.48348893833426,1,1
75,75,2020-12-29 17:08:00,1,Customer Invoice,"Incandenza, Hal",1,825.8159913960752,0,0
76,76,2020-12-29 17:22:00,1,Customer Invoice,"Incandenza, Hal",1,337.4893625871442,0,0
77,77,2020-12-29 17:27:00,1,Estimate,"Germanotta, Stefani",0,548.631694675276,1,0
78,78,2020-12-29 17:41:00,1,Customer Invoice,"Germanotta, Stefani",1,990.9975457831006,0,0
79,79,2020-12-29 18:05:00,1,Customer Invoice,"Incandenza, Hal",1,323.73458521582194,0,0
80,80,2020-12-29 20:47:00,1,Customer Invoice,"Bateman, Patrick",1,455.42295573260196,0,0
81,81,2020-12-29 20:49:00,1,Customer Invoice,"Bateman, Patrick",1,745.4050376770425,0,0
82,82,2020-12-30 8:54:00,1,Customer Invoice,"Lumbergh, Bill",1,157.72332778290118,0,0
83,83,2020-12-30 8:55:00,1,Estimate,"Bateman, Patrick",0,750.4837433524189,1,1
84,84,2020-12-30 9:47:00,1,Estimate,"Simone, Nina",0,1152.9634507303374,1,0
85,85,2020-12-30 10:20:00,1,Estimate,"Simone, Nina",0,2943.6567971238583,1,0
86,86,2020-12-30 10:30:00,1,Customer Invoice,"Simone, Nina",1,451.68498076968956,0,0
87,87,2020-12-30 11:10:00,1,Cash Sale,"Bolton, Michael",1,26.82075136874014,0,0
88,88,2020-12-30 11:28:00,1,Customer Invoice,"Lumbergh, Bill",1,1131.7157360274002,0,0
89,89,2020-12-30 11:30:00,1,Customer Invoice,"Incandenza, Hal",1,1018.4362068320629,0,0
90,90,2020-12-30 11:32:00,1,Customer Invoice,"Incandenza, Hal",1,57.471597187010396,0,0
91,91,2020-12-30 11:37:00,1,Customer Invoice,"Incandenza, Hal",1,391.37721964756605,0,0
92,92,2020-12-30 12:02:00,1,Customer Invoice,"Bateman, Patrick",1,705.4124688977649,0,0
93,93,2020-12-30 12:05:00,1,Estimate,"Simone, Nina",0,4610.035547405292,1,1
94,94,2020-12-30 12:45:00,1,Estimate,"Lumbergh, Bill",0,66.2583524778677,1,1
95,95,2020-12-30 12:54:00,1,Customer Invoice,"Lumbergh, Bill",1,75.32194723198589,0,0
96,96,2020-12-30 13:08:00,1,Customer Invoice,"Bateman, Patrick",1,697.6094347096852,0,0
97,97,2020-12-30 15:18:00,1,Customer Invoice,"Simone, Nina",1,4428.004018180915,0,0
98,98,2020-12-30 15:20:00,1,Customer Invoice,"Simone, Nina",1,12362.311992751336,0,0
99,99,2020-12-30 15:21:00,1,Customer Invoice,"Simone, Nina",1,3970.1843245722694,0,0
100,100,2020-12-30 15:23:00,1,Customer Invoice,"Cyrus, Mylie",1,2359.565788616286,0,0
101,101,2020-12-30 15:28:00,1,Estimate,"Cyrus, Mylie",0,1182.71673112488,1,1
102,102,2020-12-30 15:33:00,1,Estimate,"Bolton, Michael",0,183.57866039650932,1,1
